Date,Total_Portfolio_Value,AMZN_Value,BA_Value,CAT_Value,GOOGL_Value,GS_Value,NKE_Value,NVDA_Value,SOFI_Value,TSLA_Value,UNH_Value
2024-03-01,50000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0
2024-03-02,50321.46007075884,5008.9777,4992.5369,5028.9568,4861.8207,4982.9188,5058.4289,4910.1229,5431.8334,5000.0,5045.864
2024-03-03,50321.46007075884,5008.9777,4992.5369,5028.9568,4861.8207,4982.9188,5058.4289,4910.1229,5431.8334,5000.0,5045.864
2024-03-04,50321.46007075884,5008.9777,4992.5369,5028.9568,4861.8207,4982.9188,5058.4289,4910.1229,5431.8334,5000.0,5045.864
2024-03-05,50214.37982295809,5057.7757,4989.0619,4952.9251,4837.0283,4965.8381,5089.9747,4889.0671,5383.9099,5000.0,5048.7991
2024-03-06,50125.89382459128,5066.6352,5039.4489,4984.1107,4790.7247,4951.3063,5107.6699,4811.2643,5358.6248,5000.0,5016.1089
2024-03-07,50339.79115980746,5018.3076,5096.7559,5052.2716,4899.3735,4932.95,5093.0839,4703.6212,5530.7897,5000.0,5012.6378
2024-03-08,50470.25440977795,5039.1676,5175.5804,5036.9758,4936.9262,4922.371,5068.112,4834.0923,5509.2689,5000.0,4947.7603
2024-03-09,50201.246330757735,5087.8781,4953.7583,4974.3093,5019.3241,4948.1191,5019.7472,4882.5284,5365.7985,5000.0,4949.7833
2024-03-10,50201.246330757735,5087.8781,4953.7583,4974.3093,5019.3241,4948.1191,5019.7472,4882.5284,5365.7985,5000.0,4949.7833
2024-03-11,50201.246330757735,5087.8781,4953.7583,4974.3093,5019.3241,4948.1191,5019.7472,4882.5284,5365.7985,5000.0,4949.7833
2024-03-12,50075.60297599049,5037.1355,4979.3642,5008.0185,5049.5844,5000.7644,5042.2451,4707.8027,5294.0633,5000.0,4956.625
2024-03-13,49893.71157899982,5020.3346,4995.8297,5071.5769,5096.6165,4953.6005,5012.8091,4734.053,5057.337,5000.0,4951.5543
2024-03-14,49911.66264580547,4989.1992,5033.888,5077.5171,5217.2969,4935.7546,5040.2328,4810.7247,5042.9899,4794.0761,4969.9834
2024-03-15,49859.83254672938,5049.6278,4959.702,5040.4311,5147.2947,4899.5536,5055.8897,4813.6514,5078.8573,4825.6435,4989.1814
2024-03-16,50461.73355928349,5048.7593,4941.8726,5112.0486,5384.2792,4954.2379,5078.8794,4796.7174,4964.081,5127.4489,5053.4094
2024-03-17,50461.73355928349,5048.7593,4941.8726,5112.0486,5384.2792,4954.2379,5078.8794,4796.7174,4964.081,5127.4489,5053.4094
2024-03-18,50461.73355928349,5048.7593,4941.8726,5112.0486,5384.2792,4954.2379,5078.8794,4796.7174,4964.081,5127.4489,5053.4094
2024-03-19,50653.07264224538,5028.2147,4853.7126,5141.1023,5360.5805,5053.7917,5047.7906,4771.1487,5279.7163,5054.284,5062.7311
2024-03-20,50776.502442833334,4996.0559,4851.6447,5178.1468,5422.9262,4947.3712,5039.9817,4745.1578,5337.1044,5182.3226,5075.791
2024-03-21,50530.95724620371,4996.0559,4881.37,5120.2264,5381.363,4989.0901,5026.2157,4717.2505,5236.6751,5098.537,5084.1735
